mode,mean_ref_amplitude,mean_pred_amplitude,mean_abs_spectral_error,relative_spectral_error,contribution_to_total_spectral_error
79,2.737020343573962e-09,1.4004467256107883e-15,2.737020928175869e-09,1.0000002135906327,7.060571773583829e-19
80,2.121901350714304e-09,1.0275030971418827e-15,2.1219018180901803e-09,1.0000002202627734,4.244282509341449e-19
81,1.6740367601242193e-09,1.5677892427581211e-15,1.6740374535128799e-09,1.0000004142015737,2.6420554885992226e-19
82,1.2919673355146654e-09,6.206441593318346e-16,1.2919674754459945e-09,1.0000001083087207,1.573849780421187e-19
83,1.0251378545710166e-09,6.410224503223196e-16,1.025138007103424e-09,1.0000001487920935,9.909795754030313e-20
84,7.854751054764308e-10,8.54282678530313e-16,7.854755177055929e-10,1.000000524815057,5.81832367773113e-20
85,6.289622732584326e-10,6.873763724595274e-16,6.28962531023496e-10,1.0000004098259536,3.730861938771973e-20
86,4.763830606548067e-10,5.625969265728346e-16,4.763832527007649e-10,1.0000004031334742,2.1403977365096755e-20
87,3.8704562345739126e-10,7.860905151871997e-16,3.8704591748668713e-10,1.000000759676064,1.412940575886729e-20
88,2.877738349332027e-10,7.189401518396074e-16,2.877741255622939e-10,1.000001009921876,7.811175395924572e-21
89,2.392949226685133e-10,8.177079419976708e-16,2.3929522087596684e-10,1.0000012461921475,5.4012291001546665e-21
90,1.7270315904938907e-10,5.492918237101551e-16,1.727033932706242e-10,1.0000013562070111,2.8134252238275525e-21
91,1.4903213853388414e-10,6.737419280189306e-16,1.4903239766447298e-10,1.000001738756428,2.0950883615242435e-21
92,1.0251829268624202e-10,1.0394423174287412e-15,1.0251885422597747e-10,1.0000054774589073,9.914012326463427e-22
93,9.386881926845209e-11,6.868439134074939e-16,9.386910451283237e-11,1.0000030387553875,8.311761399176764e-22
94,5.972944534469257e-11,8.118301631335281e-16,5.972986731816099e-11,1.0000070647478139,3.365292456034128e-22
95,6.013808232498482e-11,1.6465475380061369e-15,6.013885475543826e-11,1.0000128442814202,3.4114894643825444e-22
96,3.365978136422755e-11,1.3557041095620774e-15,3.36603093786457e-11,1.0000156868047487,1.0687080792698657e-22
97,3.9495283139381165e-11,1.6437976422035601e-15,3.949612287268545e-11,1.0000212616099327,1.4713992341149254e-22
98,1.77920727814565e-11,9.103348363117905e-16,1.7792402165362117e-11,1.0000185129585328,2.9858401202170123e-23
99,2.6846866910965133e-11,7.113142141665914e-16,2.684715602798723e-11,1.000010769115929,6.798857462927131e-23
100,8.147979173488235e-12,9.966379252177455e-16,8.148513642797973e-12,1.000065595321043,6.261741145659236e-24
101,1.9084062203861162e-11,7.08269719546601e-16,1.9084309996912736e-11,1.0000129842928056,3.43547606268187e-23
102,2.299684074570679e-12,5.513216419317379e-16,2.2998973565357443e-12,1.000092744028375,4.986218315718521e-25
103,1.430783642468051e-11,7.983727654721179e-16,1.4308190297751971e-11,1.0000247328150083,1.930977572861796e-23
104,1.236676049712798e-12,7.728529342519084e-16,1.2370182709740238e-12,1.000276726683035,1.4410027886955557e-25
105,1.1358525549889544e-11,7.929396738885578e-16,1.1358785808606706e-11,1.0000229130723015,1.2169223309654269e-23
106,3.363146652299334e-12,5.237339104824939e-16,3.363302351444373e-12,1.0000462956751923,1.06659387981786e-24
107,9.528112347621668e-12,7.302220360666208e-16,9.528410955233885e-12,1.0000313396401432,8.563282864924392e-24
108,4.633394833706094e-12,7.71344527297878e-16,4.633766311091247e-12,1.0000801739110274,2.0247221871832677e-24
109,8.384795957113219e-12,6.975229832421043e-16,8.385107392559725e-12,1.0000371428771908,6.631129151940639e-24
110,5.3847109653064996e-12,6.455169524844267e-16,5.384935043130467e-12,1.00004161371435,2.734348982773797e-24
111,7.664422415614108e-12,1.3227708619904618e-15,7.665082471523244e-12,1.0000861194586288,5.539950260388027e-24
112,5.8219274683489026e-12,9.263929536323074e-16,5.822254879543364e-12,1.000056237594206,3.196611392779791e-24
113,7.205018986064831e-12,1.3718268004467617e-15,7.205627244172866e-12,1.0000844214441642,4.895531873924411e-24
114,6.070995712745142e-12,6.770584160815552e-16,6.071248985996634e-12,1.0000417185686625,3.475853094298361e-24
115,6.907843546202888e-12,6.051209463166269e-16,6.9080730710304235e-12,1.000033226697449,4.500644076675188e-24
116,6.207702840503788e-12,7.680671981377009e-16,6.208046176055148e-12,1.000055307987541,3.634635153952848e-24
117,6.713625396431455e-12,6.680619817828421e-16,6.713873831831062e-12,1.0000370046561935,4.251288934484854e-24
118,6.279515627112876e-12,5.948675063142648e-16,6.279756054400279e-12,1.0000382875530025,3.719084540772674e-24
119,6.585691809512271e-12,8.426013358376921e-16,6.5860416680548165e-12,1.0000531240380912,4.090466504458832e-24
120,6.3141813233838575e-12,7.092086583349153e-16,6.314423725808772e-12,1.0000383901589929,3.760174858358054e-24
121,6.500916335897766e-12,8.458173012411376e-16,6.501232301194556e-12,1.0000486031938367,3.985835157341292e-24
122,6.328825474474702e-12,6.340814018174323e-16,6.328980145093539e-12,1.0000244390715878,3.777614865041707e-24
123,6.445960158513159e-12,7.341097577136735e-16,6.4463351140938855e-12,1.0000581690813326,3.918854878639118e-24
124,6.334001027968985e-12,8.690110555770818e-16,6.334198357962615e-12,1.0000311540829816,3.783412651856625e-24
125,6.4133690030018425e-12,5.725291802717558e-16,6.4135695608822745e-12,1.0000312718448507,3.878909354589933e-24
126,6.335511482187722e-12,5.344551022354581e-16,6.335549826242933e-12,1.0000060522430303,3.7844214188566805e-24
127,6.399121542974645e-12,1.4608616635179705e-15,6.399580846682002e-12,1.000071776056178,3.8601647965157825e-24
128,6.336387959981048e-12,8.090338080436785e-16,6.336985941491341e-12,1.0000943726163976,3.7844214309505205e-24
