mode,k,k_squared,ref_initial_real,ref_initial_imag,pred_initial_real,pred_initial_imag,initial_complex_abs_error,final_complex_abs_error,mean_complex_abs_error_over_time,relative_complex_error_over_time,ref_final_amplitude,pred_final_amplitude,final_amplitude_ratio_pred_over_ref,exact_vs_reference_relative_error_by_mode,fitted_decay_rate,decay_rate_error,valid_decay_fit
20,3.141592653589793,9.869604401089358,0.578375653294984,1.5838025335668249e-15,0.5783404157409976,0.00013405145733635937,0.0001386054776136934,0.0002870830417120206,0.0005832583770415146,0.021548225237063876,3.1180368903774947e-16,0.00028708304171233225,920717271172.4257,1.0787294328639947e-14,0.8195322666216942,-9.050072134467664,True
21,3.2986722862692828,10.881238852201017,-0.4519193114819677,1.4792854441392222e-15,-0.45182575387152996,-0.00038621117335518743,0.0003973815507750075,0.0003777233746243118,0.0007940042044356885,0.05709286810600813,4.493431888098502e-16,0.0003777233746240087,840612218078.7098,1.694453558806609e-14,0.6691401870450505,-10.212098665155967,True
22,3.455751918948773,11.942221325318126,0.3531086480981971,1.033895191682177e-15,0.35309029296913563,-1.1651400384033112e-06,1.839207204678472e-05,5.427590610077908e-05,0.00010959717446794183,0.009279864606836677,8.338125159080452e-16,5.427590610042764e-05,65093657224.99338,2.087440281275774e-14,0.8851430854718451,-11.05707823984628,True
23,3.6128315516282625,13.052551820440678,-0.2759013142767146,-3.7470027081099033e-16,-0.2758799976139097,5.0909830940117085e-05,5.5192490426940536e-05,6.080564072732752e-05,0.00029823888235639226,0.03927910710307522,1.2379801003224523e-16,6.080564072722019e-05,491168159418.5752,2.8880590930292237e-14,0.9416049812377907,-12.110946839202887,True
24,3.769911184307752,14.212230337568679,0.21557473715627867,-2.042553036500308e-16,0.2156291648656537,-0.0005891351015252408,0.0005916439329501549,0.00023887157745255396,0.0005698983528336654,0.08619557670082359,6.08770162779053e-16,0.0002388715774531315,392383845428.0939,3.316328822471798e-14,0.4785676917461524,-13.733662645822527,True
25,3.9269908169872414,15.421256876702122,-0.1684384529565368,5.950101522600448e-16,-0.0007052996629673238,4.024286529058822e-08,0.1677331532935743,0.0007052996641165555,0.0036834060992244847,0.9945572129600432,4.945954092847305e-16,0.0007052996641160616,1426013365421.336,5.1104155210745624e-14,5.682534141610957e-16,-15.421256876702122,True
26,4.084070449666731,16.679631437841014,0.1316085426732651,8.673617379884035e-16,0.13157039234516946,8.533796550385234e-05,9.347735495826936e-05,6.990952650478169e-05,9.360224754564986e-05,0.014898470798037826,5.72292506307525e-16,6.990952650428961e-05,122156983944.01704,5.614725743908233e-14,0.6978187810716535,-15.98181265676936,True
27,4.241150082346221,17.987354020985354,-0.10283162757376205,-9.8879238130678e-16,-0.10278408324462018,-0.00032538212351088027,0.0003288373298963426,4.787276640838277e-05,0.00012580544695213542,0.043848522047093635,7.155029522103694e-16,4.787276640831453e-05,66907853084.915245,6.5012534594354e-14,0.6992226343202522,-17.2881313866651,True
28,4.39822971502571,19.34442462613514,0.08034688874830623,-3.3350058825654116e-16,0.07997200176883279,0.0011008790770640933,0.00116295958214245,5.456148822400614e-05,0.00016423107918911428,0.05372982419829747,6.185710228566994e-16,5.456148822370424e-05,88205697013.94527,1.063402859983626e-13,0.5697381770808428,-18.774686449054297,True
29,4.555309347705201,20.750843253290384,-0.06277857149423986,-9.493274222283077e-16,-0.06263830357519923,-0.0001572078246594383,0.0002106878953472275,2.9083167849452076e-05,0.0001029981597472078,0.07604928968177999,9.526988284870191e-16,2.908316784855953e-05,30527137201.109512,1.7400168125505116e-13,0.4381461499908128,-20.31269710329957,True
